LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUADULT,UPPSRY,PC_25_64,A,2000,31.311945,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2001,29.946537,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2002,30.189898,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2003,31.166031,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2004,33.297886,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2005,33.340881,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2006,33.687943,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2007,34.44656,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2008,33.785992,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2009,34.146122,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2010,35.602947,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2011,35.735386,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2012,35.154247,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2013,36.17564,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2014,35.202309,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2015,36.130348,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2016,36.188747,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2017,35.631668,
AUS,EDUADULT,UPPSRY,PC_25_64,A,2018,36.163879,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2004,51.550304,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2005,52.305584,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2006,54.771961,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2007,54.844437,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2008,54.688057,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2009,54.749195,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2010,54.608784,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2011,54.407017,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2012,54.176529,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2013,53.233154,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2014,53.951103,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2015,54.097969,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2016,53.144444,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2017,52.568035,
AUT,EDUADULT,UPPSRY,PC_25_64,A,2018,52.586048,
BEL,EDUADULT,UPPSRY,PC_25_64,A,2000,31.438227,
BEL,EDUADULT,UPPSRY,PC_25_64,A,2001,31.836805,
BEL,EDUADULT,UPPSRY,PC_25_64,A,2002,32.668564,
BEL,EDUADULT,UPPSRY,PC_25_64,A,2003,33.016048,
